id,age,death_date,age_standard_deviation,age_at_death,latitude,longitude,y_haplogroup,mtdna_haplogroup
NE30,9896,-7873,121,..,45.96,126.23,..,D4m
NE61,3421,-1398,23,..,45.88,126.22,..,D4b1a2a
NE35,8990,-6967,72,..,45.91,125.95,n/a (female),R11
I17622,3050,-1027,173,adult ,40.295,19.49027778,..,n/a (<2x)
I13833,325,1698,101,Young adult; 17-19 yrs.,40.625278,20.801111,..,X2e1
I3931,7858,-5835,45,Newborn,40.10093333,44.29051667,..,I1
I3930,7535,-5512,28,adult; 35-40 yrs.,40.15151667,44.70435,..,K
I13559,750,1273,173,..,24.1,-77.55,..,B2e
I24542,4725,-2702,101,old adult ,16.497398,-88.90496,n/a (female),C1c
I19493,2750,-727,173,Newborn,41.73,26.33,n/a (female),K1a4a1
I19479,2025,-2,130,adult; 20-40 yrs.,42.62,25.41,n/a  (sex unknown),n/a (<2x)
I13487,1329,694,16,..,23.038,-81.497,n/a (female),D1
I16326,2625,-602,72,..,50.291389,14.045556,n/a (female),H7
I8122,1150,873,173,..,18.447,-69.187,n/a (female),A2z
I14200,4328,-2305,57,35-45,51.168023,-1.7725402,R-L151,K1b1a
I2446,4215,-2192,78,..,51.7977,-1.313464,n/a (female),K1b1a1
I19043,2200,-177,87,..,51.07,-1.29,n/a (female),J1c1
I30333,5748,-3725,89,adult ,51.861211,-1.883011,..,n/a (<2x cov)
I3587,4175,-2152,43,..,48.8833,12.5332,n/a  (sex unknown),H1e1a
I13433,3200,-1177,58,..,38.399083,22.575,n/a (female),U3b1
I13531,3200,-1177,58,..,38.399083,22.575,n/a (female),U3b
I13580,3169,-1146,55,..,38.399083,22.575,..,K2b
I7527,9900,-7877,144,..,34.45,48.116,n/a (female),U7a
I6441,3300,-1277,433,Mature adult ,36.716667,42.85,..,HV1a'b'c
I6445,10700,-8677,433,Young adult ,36.716667,42.85,n/a (female),J1d
I6441,3300,-1277,433,Mature adult ,36.716667,42.85,..,HV1a'b'c
I2189,3500,-1477,29,juvenile,32.58472222,35.01694444,..,U3b
I1072,12700,-10677,722,..,32.65,35.067,..,N1b
I1072,12700,-10677,722,..,32.65,35.067,..,n/a (<2x)
I1072,12700,-10677,722,..,32.65,35.067,..,N1b
I1415,9827,-7804,132,..,31.988,35.976,..,T1a2
I1701,9600,-7577,57,..,31.988,35.976,n/a (female),K1a18
I1707,9569,-7546,54,..,31.988,35.976,..,R0a
I1709,10050,-8027,115,..,31.988,35.976,..,n/a (<2x)
I1710,9565,-7542,63,..,31.988,35.976,..,T1a2
I1704,9159,-7136,97,..,31.988,35.976,n/a (female),T
I1727,10050,-8027,115,..,31.988,35.976,..,T1a2
I1415,9827,-7804,132,..,31.988,35.976,..,T1a2
I1701,9600,-7577,57,..,31.988,35.976,n/a (female),K
I1709,10050,-8027,115,..,31.988,35.976,..,n/a (<2x)
I1679,8800,-6777,29,..,31.988,35.976,n/a (female),n/a (<2x)
I1699,8700,-6677,29,..,31.988,35.976,n/a (female),R0a2
I1708,8700,-6677,29,Juvenile; 14 yrs.,31.988,35.976,n/a (female),R0a2
I1679,8800,-6777,29,..,31.988,35.976,n/a (female),R
I4427,6009,-3986,72,juvenile,-10.786153,33.765371,..,L0d1b2b
I4427,6009,-3986,72,juvenile,-10.786153,33.765371,..,L0d1b2b
I13778,3234,-1211,51,adult ,42.366667,18.733333,..,H1+16311
I0231,4844,-2821,9,..,53.08561111,49.46591111,..,U4a1
I1525,1695,328,113,..,66.161126,-169.822297,n/a (female),A2a
I0726,7950,-5927,231,..,40.26,29.65,n/a (female),H
I1099,8300,-6277,87,..,40.3037,29.57,..,T2
I1100,8300,-6277,87,..,40.3037,29.57,n/a (female),K
I1102,8300,-6277,87,..,40.3037,29.57,..,K1a3a
I1103,8300,-6277,87,..,40.3037,29.57,..,K1b1b1
I0725,7950,-5927,231,..,40.26,29.65,n/a (female),N1a1a
I14445,10700,-8677,144,adult ,37.52,41.84,n/a (female),n/a (<2x)
I8435,10700,-8677,144,Juvenile,37.52,41.84,n/a (female),n/a (<2x)
I1926,5649,-3626,35,35-45,48.7225,25.880833,..,H5a
I5870,7363,-5340,40,..,47.9543,35.3893,..,U4b1b1
I3719,6831,-4808,42,..,48.91422,33.76493,..,H1
I3716,7347,-5324,48,..,47.9543,35.3893,..,U5b2
I5872,7374,-5351,31,..,47.9543,35.3893,..,U5a2+16294
HG02420,0,2023,0,..,13.17,-59.5525,..,..
HG01880,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG01988,0,2023,0,..,13.17,-59.5525,..,..
HG02419,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG01879,0,2023,0,..,13.17,-59.5525,..,..
HG01882,0,2023,0,..,13.17,-59.5525,..,..
HG01883,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG01885,0,2023,0,..,13.17,-59.5525,..,..
HG01886,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG01889,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG01890,0,2023,0,..,13.17,-59.5525,..,..
HG01894,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG01896,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG01912,0,2023,0,..,13.17,-59.5525,..,..
HG01914,0,2023,0,..,13.17,-59.5525,..,..
HG01915,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG01956,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG01958,0,2023,0,..,13.17,-59.5525,n/a (female),..
HG01985,0,2023,0,..,13.17,-59.5525,n/a (female),..
